reaction number,reaction,reaction rate,description,simplified_reaction,simplified_reaction_rate,equations,simplified_equations
268,Tumor.[C6b=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C6b=PDL1]+[C6b=PDL1:aPDL1]+[T6b=PD1:PDL1=C6b]+[T6c=CD80:PDL1=C6b]),PD-L1 expression threshold by the T6 subtype of cancer cells in the tumor,zeta.BK -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.BK+BK:aPDL1+JX:PDL1=C6b+KA:PDL1=C6b),-Tumor.[C6b=PDL1]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C6b=PDL1]+[C6b=PDL1:aPDL1]+[T6b=PD1:PDL1=C6b]+[T6c=CD80:PDL1=C6b]),-zeta.BK  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.BK+BK:aPDL1+JX:PDL1=C6b+KA:PDL1=C6b)
269,Tumor.[C7a=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C7a=PD1]+[C7a=PD1:aPD1]+[T7a=PDL1:PD1=C7a]),PD-1 expression threshold by the T7 subtype of cancer cells in the tumor,zeta.BL -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.BL+BL:aPD1+KC:PD1=C7a),-Tumor.[C7a=PD1]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C7a=PD1]+[C7a=PD1:aPD1]+[T7a=PDL1:PD1=C7a]),-zeta.BL  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.BL+BL:aPD1+KC:PD1=C7a)
270,Tumor.[C7b=PDL2] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C7b=PDL2]+[T7b=PD1:PDL2=C7b]),PD-L2 expression threshold by the T7 subtype of cancer cells in the tumor,zeta.BN -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.BN+KE:PDL2=C7b),-Tumor.[C7b=PDL2]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C7b=PDL2]+[T7b=PD1:PDL2=C7b]),-zeta.BN  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.BN+KE:PDL2=C7b)
271,Tumor.[C8a=PDL1] + Tumor.[T8b=CD80] <-> Tumor.[T8b=CD80:PDL1=C8a],[kon_PDL1_CD80]*Tumor.[C8a=PDL1]*Tumor.[T8b=CD80]/[V_T:C_8] -[koff_PDL1_CD80]*Tumor.[T8b=CD80:PDL1=C8a],Interaction at the immunological synapse between PD-L1 expressed by the T8 subtype of cancer cells and CD80 on Effector T cells in the tumor,zeta.BO + zeta.KL <-> zeta.KL:PDL1=C8a,kon_PDL1_CD80*zeta.BO*zeta.KL/V_T:C_8 -koff_PDL1_CD80*zeta.KL:PDL1=C8a,-Tumor.[C8a=PDL1]  = - Tumor.[T8b=CD80]  =  Tumor.[T8b=CD80:PDL1=C8a] = [kon_PDL1_CD80]*Tumor.[C8a=PDL1]*Tumor.[T8b=CD80]/[V_T:C_8] -[koff_PDL1_CD80]*Tumor.[T8b=CD80:PDL1=C8a],-zeta.BO  = - zeta.KL  =  zeta.KL:PDL1=C8a = kon_PDL1_CD80*zeta.BO*zeta.KL/V_T:C_8 -koff_PDL1_CD80*zeta.KL:PDL1=C8a
272,Tumor.[C8a=PDL1] + Tumor.PDL1_mabt <-> Tumor.[C8a=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[C8a=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[C8a=PDL1:aPDL1],Interaction at the immunological synapse between PD-L1 expressed by the T8 subtype of cancer cells and Anti-PD-L1 in the tumor,zeta.BO + zeta.GI <-> zeta.BO:aPDL1,kon_PDL1-PDL1mAb*zeta.BO*zeta.GI/Vt - koff_PDL1-PDL1mAb*zeta.BO:aPDL1,-Tumor.[C8a=PDL1]  = - Tumor.PDL1_mabt  =  Tumor.[C8a=PDL1:aPDL1] = [kon_PDL1-PDL1mAb]*Tumor.[C8a=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[C8a=PDL1:aPDL1],-zeta.BO  = - zeta.GI  =  zeta.BO:aPDL1 = kon_PDL1-PDL1mAb*zeta.BO*zeta.GI/Vt - koff_PDL1-PDL1mAb*zeta.BO:aPDL1
273,Tumor.[C8a=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C8a=PDL1]+[C8a=PDL1:aPDL1]+[T8a=PD1:PDL1=C8a]+[T8b=CD80:PDL1=C8a]),PD-L1 expression threshold by the T8 subtype of cancer cells in the tumor,zeta.BO -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.BO+BO:aPDL1+KH:PDL1=C8a+KL:PDL1=C8a),-Tumor.[C8a=PDL1]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C8a=PDL1]+[C8a=PDL1:aPDL1]+[T8a=PD1:PDL1=C8a]+[T8b=CD80:PDL1=C8a]),-zeta.BO  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.BO+BO:aPDL1+KH:PDL1=C8a+KL:PDL1=C8a)
274,Tumor.[C8b=PDL2] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C8b=PDL2]+[T8a=PD1:PDL2=C8b]),PD-L2 expression threshold by the T8 subtype of cancer cells in the tumor,zeta.BP -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.BP+KH:PDL2=C8b),-Tumor.[C8b=PDL2]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C8b=PDL2]+[T8a=PD1:PDL2=C8b]),-zeta.BP  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.BP+KH:PDL2=C8b)
275,Tumor.[C9a=PD1] + Tumor.[T9=PDL1] <-> Tumor.[T9=PDL1-PD1=C9a],[kon_PD1_PDL1]*Tumor.[C9a=PD1]*Tumor.[T9=PDL1]/[V_T:C_9] - [koff_PD1_PDL1]*Tumor.[T9=PDL1-PD1=C9a],Interaction at the immunological synapse between PD-1 expressed by the T9 subtype of cancer cells and PD-L1 on the complementary Effector T cells in the tumor,zeta.BQ + zeta.KN <-> zeta.KN-PD1=C9a,kon_PD1_PDL1*zeta.BQ*zeta.KN/V_T:C_9 - koff_PD1_PDL1*zeta.KN-PD1=C9a,-Tumor.[C9a=PD1]  = - Tumor.[T9=PDL1]  =  Tumor.[T9=PDL1-PD1=C9a] = [kon_PD1_PDL1]*Tumor.[C9a=PD1]*Tumor.[T9=PDL1]/[V_T:C_9] - [koff_PD1_PDL1]*Tumor.[T9=PDL1-PD1=C9a],-zeta.BQ  = - zeta.KN  =  zeta.KN-PD1=C9a = kon_PD1_PDL1*zeta.BQ*zeta.KN/V_T:C_9 - koff_PD1_PDL1*zeta.KN-PD1=C9a
276,Tumor.[C9a=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C9a=PD1]+[C9a=PD1:aPD1]+[T9=PDL1-PD1=C9a]),PD-1 expression threshold by the T9 subtype of cancer cells in the tumor,zeta.BQ -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.BQ+BQ:aPD1+KN-PD1=C9a),-Tumor.[C9a=PD1]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C9a=PD1]+[C9a=PD1:aPD1]+[T9=PDL1-PD1=C9a]),-zeta.BQ  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.BQ+BQ:aPD1+KN-PD1=C9a)
277,Tumor.[C9b=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C9b=CD80]+[T9=PDL1-CD80=C9b]),CD80 expression threshold by the T9 subtype of cancer cells in the tumor,zeta.BS -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.BS+KN-CD80=C9b),-Tumor.[C9b=CD80]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C9b=CD80]+[T9=PDL1-CD80=C9b]),-zeta.BS  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.BS+KN-CD80=C9b)
278,Tumor.[CTLA4:CD80_TrAT] -> null,Endo_CTLA4*Tumor.[CTLA4:CD80_TrAT],Transendocytosis of the CD80 receptors on mAPCs through CTLA-4 binding and internalization on T Regulatory cells in the tumor,zeta.BX -> null,Endo_CTLA4*zeta.BX,-Tumor.[CTLA4:CD80_TrAT]  =  Endo_CTLA4*Tumor.[CTLA4:CD80_TrAT],-zeta.BX  =  Endo_CTLA4*zeta.BX
279,Tumor.[CTLA4:CD86_TrAT] -> null,Endo_CTLA4*Tumor.[CTLA4:CD86_TrAT],Transendocytosis of the CD86 receptors on mAPCs through CTLA-4 binding and internalization on T Regulatory cells in the tumor,zeta.BY -> null,Endo_CTLA4*zeta.BY,-Tumor.[CTLA4:CD86_TrAT]  =  Endo_CTLA4*Tumor.[CTLA4:CD86_TrAT],-zeta.BY  =  Endo_CTLA4*zeta.BY
280,Tumor.[CTLA4_CTLA4-Trt] -> null,Endo_CTLA4*Tumor.[CTLA4_CTLA4-Trt],Internalization of the Anti-CTLA-4 antibodies bound to CTLA-4 receptors on T Regulatory cells in the tumor,zeta.BZ -> null,Endo_CTLA4*zeta.BZ,-Tumor.[CTLA4_CTLA4-Trt]  =  Endo_CTLA4*Tumor.[CTLA4_CTLA4-Trt],-zeta.BZ  =  Endo_CTLA4*zeta.BZ
281,Tumor.[T{PD1}{80}-{PDL1}{PDL2}C] -> Tumor.[T{PD1}{80}-{PDL1}{PDL2}C] + Tumor.[T8a=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{80}-{PDL1}{PDL2}C]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),PD-1 expression by Effector T cells interacting with the T8 subtype of cancer cells in the tumor,zeta.LX -> zeta.LX + zeta.KH,Exp_CD28/80/86/PD1/L1/L2*zeta.LX*(PD1_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max),-Tumor.[T{PD1}{80}-{PDL1}{PDL2}C]  =  Tumor.[T{PD1}{80}-{PDL1}{PDL2}C]  =  Tumor.[T8a=PD1] = [Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{80}-{PDL1}{PDL2}C]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),-zeta.LX  =  zeta.LX  =  zeta.KH = Exp_CD28/80/86/PD1/L1/L2*zeta.LX*(PD1_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max)
282,Tumor.[T{PD1}{80}-{PDL1}{PDL2}C] -> Tumor.[T{PD1}{80}-{PDL1}{PDL2}C] + Tumor.[T8b=CD80],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{80}-{PDL1}{PDL2}C]*([CD80_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),CD80 expression by Effector T cells interacting with the T8 subtype of cancer cells in the tumor,zeta.LX -> zeta.LX + zeta.KL,Exp_CD28/80/86/PD1/L1/L2*zeta.LX*(CD80_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max),-Tumor.[T{PD1}{80}-{PDL1}{PDL2}C]  =  Tumor.[T{PD1}{80}-{PDL1}{PDL2}C]  =  Tumor.[T8b=CD80] = [Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{80}-{PDL1}{PDL2}C]*([CD80_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),-zeta.LX  =  zeta.LX  =  zeta.KL = Exp_CD28/80/86/PD1/L1/L2*zeta.LX*(CD80_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max)
283,Tumor.[T{PD1}{CD80}-{PDL1}C] -> Tumor.[T{PD1}{CD80}-{PDL1}C] + Tumor.[T3a=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{CD80}-{PDL1}C]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),PD-1 expression by Effector T cells interacting with the T3 subtype of cancer cells in the tumor,zeta.LY -> zeta.LY + zeta.JL,Exp_CD28/80/86/PD1/L1/L2*zeta.LY*(PD1_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max),-Tumor.[T{PD1}{CD80}-{PDL1}C]  =  Tumor.[T{PD1}{CD80}-{PDL1}C]  =  Tumor.[T3a=PD1] = [Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{CD80}-{PDL1}C]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),-zeta.LY  =  zeta.LY  =  zeta.JL = Exp_CD28/80/86/PD1/L1/L2*zeta.LY*(PD1_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max)
284,Tumor.[T{PD1}{CD80}-{PDL1}C] -> Tumor.[T{PD1}{CD80}-{PDL1}C] + Tumor.[T3b=CD80],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{CD80}-{PDL1}C]*([CD80_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),CD80 expression by Effector T cells interacting with the T3 subtype of cancer cells in the tumor,zeta.LY -> zeta.LY + zeta.JO,Exp_CD28/80/86/PD1/L1/L2*zeta.LY*(CD80_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max),-Tumor.[T{PD1}{CD80}-{PDL1}C]  =  Tumor.[T{PD1}{CD80}-{PDL1}C]  =  Tumor.[T3b=CD80] = [Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{CD80}-{PDL1}C]*([CD80_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),-zeta.LY  =  zeta.LY  =  zeta.JO = Exp_CD28/80/86/PD1/L1/L2*zeta.LY*(CD80_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max)
285,Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C] -> Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C] + Tumor.[T16a=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C]*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),PD-L1 expression by Effector T cells interacting with the T16 subtype of cancer cells in the tumor,zeta.T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C -> zeta.T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C + zeta.IY,Exp_CD28/80/86/PD1/L1/L2*zeta.T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C*(PDL1_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max),-Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C]  =  Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C]  =  Tumor.[T16a=PDL1] = [Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C]*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),-zeta.T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C  =  zeta.T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C  =  zeta.IY = Exp_CD28/80/86/PD1/L1/L2*zeta.T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C*(PDL1_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max)
286,Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C] -> Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C] + Tumor.[T16b=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),PD-1 expression by Effector T cells interacting with the T16 subtype of cancer cells in the tumor,zeta.T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C -> zeta.T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C + zeta.JC,Exp_CD28/80/86/PD1/L1/L2*zeta.T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C*(PD1_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max),-Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C]  =  Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C]  =  Tumor.[T16b=PD1] = [Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),-zeta.T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C  =  zeta.T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C  =  zeta.JC = Exp_CD28/80/86/PD1/L1/L2*zeta.T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C*(PD1_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max)
287,Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C] -> Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C] + Tumor.[T16c=CD80],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C]*([CD80_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),CD80 expression by Effector T cells interacting with the T16 subtype of cancer cells in the tumor,zeta.T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C -> zeta.T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C + zeta.JG,Exp_CD28/80/86/PD1/L1/L2*zeta.T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C*(CD80_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max),-Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C]  =  Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C]  =  Tumor.[T16c=CD80] = [Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C]*([CD80_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),-zeta.T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C  =  zeta.T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C  =  zeta.JG = Exp_CD28/80/86/PD1/L1/L2*zeta.T{PD1}{L1}{80}-{PD1}{80}{L1}{L2}C*(CD80_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max)
288,Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C] -> Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C] + Tumor.[T14a=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C]*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),PD-L1 expression by Effector T cells interacting with the T14 subtype of cancer cells in the tumor,zeta.MF -> zeta.MF + zeta.IK,Exp_CD28/80/86/PD1/L1/L2*zeta.MF*(PDL1_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max),-Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C]  =  Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C]  =  Tumor.[T14a=PDL1] = [Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C]*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),-zeta.MF  =  zeta.MF  =  zeta.IK = Exp_CD28/80/86/PD1/L1/L2*zeta.MF*(PDL1_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max)
289,Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C] -> Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C] + Tumor.[T14b=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),PD-1 expression by Effector T cells interacting with the T14 subtype of cancer cells in the tumor,zeta.MF -> zeta.MF + zeta.IN,Exp_CD28/80/86/PD1/L1/L2*zeta.MF*(PD1_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max),-Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C]  =  Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C]  =  Tumor.[T14b=PD1] = [Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),-zeta.MF  =  zeta.MF  =  zeta.IN = Exp_CD28/80/86/PD1/L1/L2*zeta.MF*(PD1_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max)
290,Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C] -> Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C] + Tumor.[T14c=CD80],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C]*([CD80_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),CD80 expression by Effector T cells interacting with the T14 subtype of cancer cells in the tumor,zeta.MF -> zeta.MF + zeta.IQ,Exp_CD28/80/86/PD1/L1/L2*zeta.MF*(CD80_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max),-Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C]  =  Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C]  =  Tumor.[T14c=CD80] = [Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{80}{L1}C]*([CD80_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),-zeta.MF  =  zeta.MF  =  zeta.IQ = Exp_CD28/80/86/PD1/L1/L2*zeta.MF*(CD80_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max)
291,Tumor.[T{PD1}{L1}{80}-{PD1}{L1}{L2}C] -> Tumor.[T{PD1}{L1}{80}-{PD1}{L1}{L2}C] + Tumor.[T10a=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{L1}{L2}C]*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),PD-L1 expression by Effector T cells interacting with the T10 subtype of cancer cells in the tumor,zeta.MH -> zeta.MH + zeta.HM,Exp_CD28/80/86/PD1/L1/L2*zeta.MH*(PDL1_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max),-Tumor.[T{PD1}{L1}{80}-{PD1}{L1}{L2}C]  =  Tumor.[T{PD1}{L1}{80}-{PD1}{L1}{L2}C]  =  Tumor.[T10a=PDL1] = [Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{L1}{L2}C]*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),-zeta.MH  =  zeta.MH  =  zeta.HM = Exp_CD28/80/86/PD1/L1/L2*zeta.MH*(PDL1_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max)
292,Tumor.[T{PD1}{L1}{80}-{PD1}{L1}{L2}C] -> Tumor.[T{PD1}{L1}{80}-{PD1}{L1}{L2}C] + Tumor.[T10b=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{L1}{L2}C]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),PD-1 expression by Effector T cells interacting with the T10 subtype of cancer cells in the tumor,zeta.MH -> zeta.MH + zeta.HO,Exp_CD28/80/86/PD1/L1/L2*zeta.MH*(PD1_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max),-Tumor.[T{PD1}{L1}{80}-{PD1}{L1}{L2}C]  =  Tumor.[T{PD1}{L1}{80}-{PD1}{L1}{L2}C]  =  Tumor.[T10b=PD1] = [Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{L1}{L2}C]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),-zeta.MH  =  zeta.MH  =  zeta.HO = Exp_CD28/80/86/PD1/L1/L2*zeta.MH*(PD1_receptors-per-Tcell/Avagadro's_Num)*(Cancer_per_T_Cell_Int/Cancer_per_T_Cell_max)
